names,authors,descrips,paragraphs
Coloured Tooltips,Darkhax,"Client, Fabric, Forge, Quilt",Allows the tooltip colors to be configured.
BedWar Mod - Hypixel,CalMWolfs,"Client, Utility, Forge","A forge 1.8.9 mod for Hypixel BedWars. It has many features that will assist you such as stat trackers for yourself, stat viewers for other players along with some hud overlays to assist your gameplay"
BUBUSTEIN's Money Mod,BUBUSTEIN,"Client and server, Economy, Technology, Utility, Fabric, Forge, NeoForge, Quilt","Ever wish Minecraft had a money mod with banknotes, coins, and cash? Search no further!  You now have Bubustein's Money Mod, which contains US Dollars, Euros, Pound sterling, Canadian dollars, and more. Even an ATM is available."
Antique Fwaystones,sisby-folk,"Client and server, Adventure, Game Mechanics, Utility, Fabric, Quilt",Adds global markers for waystones to Antique Atlas
A Little Extra Tiles,_Doc,"Client and server, Utility, Forge","Adds several QoL features to the mod LittleTiles, such as a Tape measure, new structure types, and a better color selector."
World Pre Generator,GeheimagentNr1,"Server, Optimization, Utility, World Generation, Forge",Provides a pre-generator for Minecraft worlds.
Tinkered Hegemony,asie,"Client and server, Forge",Replace vanilla tools with Tinkers' Construct ones in your modpack.
Wearable Backpacks,Sunconure11,"Client and server, Equipment, Game Mechanics, Storage, Fabric, Quilt","Cute, balanced and configurable backpacks."
Exposure,mortuusars,"Client and server, Adventure, Game Mechanics, Utility, Forge",Camera mod with focus on process and aesthetics
Matter Overdrive: Community Edition,infiniteblock,"Client and server, Adventure, Equipment, Technology, Forge",A mod that dwells within matter and energy.
Torchkey,alurienflame,"Client, Utility, Fabric",Adds a hotkey to place a torch from your hotbar.
The Wool Collection,Buecher_wurm,"Client and server, Decoration, Utility, Fabric, Forge","adds wool variants for various blocks, like fences, stairs, gates, buttons and more"
Middle-earth,Jukoz,"Client and server, Adventure, World Generation, Fabric",Join the legendary world of Tolkien's universe from The Lord of The Rings to the Hobbit and more!
Fixed Villager Trades,Quplet,"Server, Game Mechanics, Mobs, Utility, Fabric, Quilt",A mod that makes villagers remember their profession trades.
Pixel's Character Models,pixeldoted,"Client and server, Decoration, Social, Utility, Fabric, Forge, Quilt",a Simple Player and Entity Model Editor for Scripted Models
Rangefinder HUD,Sea_Kerman,"Client, Utility, Fabric","Shows you how far away stuff is, useful for finding the dimensions of things."
Human Reborn,SmushyTaco,"Client and server, Adventure, Fabric",This mod adds a modern version of the Human mob from Minecraft Beta 1.7.3!
Epic Reload Mod,mooziii,"Client, Utility, Fabric, Quilt",A Mod for fabric that adds an epic reload resources button
Wood you Dye,Siuolplex,"Client and server, Decoration, Fabric, Forge, Quilt",Dyable Wood!
TomsServerUtils,Tom_The_Geek,"Server, Utility, Fabric",Some utilities for running a server with Fabric!
MoreChatSuggestions,SarahIsWeird,"Client, Library, Utility, Fabric",Adds autocomplete suggestions outside of commands.
Player Mobs,GoryMoon,"Client and server, Mobs, Forge","Adds hostile mobs that looks like players, works with remote list like Twitch subs"
Pick-BlockState,Minenash,"Client, Utility, Fabric",Pick-blocking now copies the blockstate if the block isn't a block entity
Glowcase,ModFest,"Client and server, Decoration, Management, Utility, Fabric, Quilt","Improve your showcase with text, hyperlink, and item display blocks from Glowcase!"
PSWG Addon: Clone Wars,parzivail,"Client and server, Adventure, Technology, World Generation, Fabric",An official addon for Galaxies: Parzi's Star Wars Mod (PSWG) that brings content from the Clone Wars era to the game!
Fog Control,capnkork,"Client, Utility, Fabric",Allows the user to adjust the (client) distance at which fogs render or disable them completely.
Builder's Tabs,XxRexRaptorxX,"Client, Management, Utility, Forge, NeoForge",Adds vanilla special blocks without a creative tab and custom player heads into its own tab. Useful for mapmakers and builders.
SpindleMark,unascribed,"Client and server, Decoration, Utility, Fabric, Quilt",Simple custom music discs for modpacks
Flopper,rubensworks,"Client and server, Utility, Forge",A hopper for transferring fluids
Road Stuff,Mapper,"Client and server, Decoration, Transportation, Forge",Road Stuff adds road blocks and items to let you build roads in your worlds!
Armor Stand Poses,legopitstop,"Client and server, Decoration, Game Mechanics, Fabric",Bedrock armor stand poses for Java Edition
Enhanced Mushrooms,ex0planetary,"Client and server, Decoration, Utility, World Generation, Fabric, Forge",Mushrooms as new wood types!
Fog Overrides,fabbe50,"Client, Decoration, Utility, Forge",Fog control made easy
Nebula,Dev0Louis,"Client or server, Library, Magic, Fabric, Quilt",Nebula is a Libary for Mods that want to create Spells and or other stuff with Mana.
Respawn Obelisks,RedPxnda,"Client and server, Adventure, Game Mechanics, Transportation, Fabric, Forge",A simple but feature-complete mod that overhauls the respawning system.
Flower Power,AnnsAnn,"Client and server, Decoration, Fabric",Flower Power aims to implement the petal form that was/will be introduced together with the cherry blossom tree for all Vanilla flowers
Nucleoid Creator Tools,NucleoidMC,"Server, Management, Utility, Fabric, Quilt",Tools for working with and creating maps for the Nucleoid ecosystem
Snowy,marcus8448,"Server, World Generation, Fabric, Forge",Make your Minecraft world a winter wonderland!
Timeless Heroes,Duzos,"Client and server, Equipment, Magic, Technology, Forge",Adds superheroes from all your favourite movies and shows!
MTR Resource Protector,Jeffreyg1228,"Client, Utility, Fabric, Forge",Protect your Minecraft resources from theft!
X-Enchantment,the-doo,"Client and server, Adventure, Cursed, Magic, Fabric, Forge",Add some enchantments
Enderism,DiamondDev,"Client and server, Adventure, Equipment, Game Mechanics, Fabric, Quilt",End and Endgame Expansion and Tweaks mod
Hyperbox,Commoble,"Client and server, Magic, Storage, Technology, Forge, NeoForge",Adds a box that's bigger on the inside than it is on the outside
Extended Mushrooms,cech12,"Client and server, Game Mechanics, Mobs, World Generation, Forge, NeoForge","Useful mushroom extension with glowshrooms, baahshrooms, magic, ..."
Rob's Floating Islands,Kreepz,"Client or server, Adventure, Decoration, World Generation, Forge",A vanilla+ mod that adds small floating islands with treasure
Multi Item Lib,OroArmor,"Client and server, Library, Fabric, Quilt",A placeholder mod for the Fabric-Api until better unhardcoding exists.
Fazcraft,moffmoth1,"Client and server, Adventure, Decoration, Equipment, Forge","Adds all of your favorite Fazbear friends to your Minecraft world; alongside countless new blocks, tools, and more!"
Diamethyst Arrows,mc-goodch,"Client and server, Adventure, Equipment, Utility, Forge, NeoForge",Additional arrows for the Diamethysts! mod.
Environmental,TeamAbnormals,"Client and server, Adventure, Decoration, World Generation, Forge",Enhances the Overworld with new foliage and wildlife and introduces some simple biomes!
Blasting Raw Metal Blocks into Blocks,MarsThePlanet,"Client and server, Game Mechanics, Storage, Utility, Fabric, Forge, Quilt",This mod allows you to smelt whole blocks of raw metals into blocks of that metal
FeaturedServers,minemobs,"Client, Utility, Fabric",This is a mod that removes the need to ship a servers.dat file that overwrites player-added servers.
AdaptiveView,TreSet,"Server, Utility, Fabric",Mod for dynamically adjusting the servers view distance based on performance.
Extra Recipe,YTXSY,"Storage, Transportation, Data Pack, Fabric, Forge, Quilt",Added more recipes for the vanilla and other mods!
GodTimeSkills,MrAlxart,"Client and server, Magic, Forge",Unofficial mod for the Statues of the God of Time from the Lololoshka Voice of Time season.
Just Better Recipes,Sashiro,"Adventure, Utility, Data Pack, Fabric, Forge, Quilt",A Datapack/Mod which adds TONS (over 3.000) of new and useful Vanilla recipes!
Better Eating Mod,qtquwu,"Client, Food, Utility, Fabric",A simple mod which fixes a problem with eating in Minecraft
ManyIdeas Doors,GeheimagentNr1,"Client and server, Adventure, Decoration, Forge",Provides over 125 big multiblock and normal-sized doors.
Immersive Craft,McJty,"Client and server, Adventure, Forge","Add a more immersive way to handle, craft and store objects in Minecraft"
Simple Generators,ValkyrieofNight,"Client and server, Technology, Forge",Simple Generators contains a vast selection of single block generators.
Nameless Servers,Minenash,"Client, Decoration, Fabric",Allows the name field for servers to be blank
Pure Mining Dimension,EvanTheProgrammer,"Client and server, Adventure, Utility, Fabric",A Mining Dimension with ores and trees nothing more and nothing less.
Gizmos,HyperPigeon,"Client and server, Equipment, Utility, Fabric",A mod that adds a bunch of wacky items and mechanics to Minecraft.
BuilderWands,TobyDev0207,"Client and server, Utility, Fabric",BuilderWands is a fork of staff-of-building mod which comes with more wands and features.
Squake: Ari's fork,adryd,"Client, Game Mechanics, Fabric, Quilt",A fork of squake for modern versions of Minecraft with modern movement code.  Introduces Quake style movement to Minecraft
Hippo Keystrokes,awesome_hippo,"Client, Game Mechanics, Management, Utility, Forge",A forge mod that display keystrokes and CPS.
Arch Bows,melvinbur,"Client and server, Equipment, Forge",A bow & crossbow mod that extends the vanilla family
Basic Skyblock,PyjamaMole,"Client and server, World Generation, Fabric, Quilt",Just the bare minimum for vanilla skyblock. Automatically removes newely generated chunks.
Arst Armor Hud,arstneio,"Client, Equipment, Utility, Quilt",Show your armor in your hotbar.
Allomancy,legobmw99,"Client and server, Adventure, Magic, Forge","Brandon Sanderson's Allomancy, now in Minecraft"
Super Secret Revival,oatmealine,"Client, Cursed, Utility, Fabric, Quilt",Brings back the Super Secret Settings from 1.7-1.8
No TNT Griefing,flooflez,"Server, Game Mechanics, Utility, Fabric",Adds New Anti-Griefing Gamerules for Your Worlds
War-Hammers,exline,"Client and server, Equipment, Fabric, Forge, Quilt",adds warhammer as a new tool/weapon
Sound-Track,coolsa,"Client and server, Decoration, Technology, Fabric",Adds Minecart Noteblocks and Jukeboxes
Effishiency,codyhuh,"Client and server, Cursed, Equipment, Forge",Catch multiple fish with just one cast! How effishient!
Lazier AE2,Relentless,"Client and server, Storage, Technology, Forge",Make your life with Applied Energistics 2 a little easier. A port of LazyAE2.
FiltPick,APeng215,"Client and server, Storage, Utility, Fabric, Forge",Add filtering function to vanilla pickup action.
Once Forgotten,TheTaciturnOne,"Client and server, Adventure, Equipment, World Generation, Fabric",A mod intending to expand on Minecraft lore!
REI Custom Command,Snownee,"Client, Utility, Fabric, Forge",Adds your frequently used commands to bookmarks/favorites in REI
Teleport Master,Viola-Siemens,"Server, Transportation, Utility, Forge",This mod adds some commands for teleporting.
Invariable Paintings,Estecka,"Server, Adventure, Decoration, Game Mechanics, Fabric","Turns paintings into collectibles. They are harder to obtain, and remember which variant they are when dropped."
Not Enough Gamerules,max094reikeb,"Server, Adventure, Game Mechanics, Utility, Fabric, Forge",This Minecraft mod adds gamerules
Stone to Iron Tools Upgrades [PurpurPack],Rhythmic,"Equipment, Game Mechanics, Utility, Data Pack, Fabric, Forge, Quilt",Allows stone tools to be upgraded to iron ones in the smithing table with an iron ingot
Primal Stage,nanokulonq,"Client and server, Adventure, Equipment, Game Mechanics, Fabric",Extends early game survival.
TARDIM: In Control,Andrew-71,"Client and server, Technology, Transportation, Fabric, Forge","All of time and space, now automated and improved. This mod aims to improve your TARDIM experience"
Sound Device Options,ichttt,"Client, Utility, Forge",Adds the functionality to switch the active sound device to older MC versions
MobCountMod,Annevdl29,"Client, Utility, Fabric, Quilt",Counts entities in a region around you
Anvil Never Too Expensive,tinytransfem,"Client and server, Equipment, Game Mechanics, Utility, Forge","This lightweight Forge mod removes the ""Too Expensive!"" message that appears in anvils when the XP cost goes above 40 levels. No longer will perfectly fine equip go to waste because the game limits your possibilities!"
Better End Rod,Maxson71,"Client and server, Decoration, Fabric",This mod adds new types of end rod
Mapper Base,Mapper,"Client and server, Library, Forge",A simple library mod that includes all common content shared by my other mods
Good Tea,melontini,"Client and server, Cursed, Food, Game Mechanics, Fabric",Make tea out of anything!
Extension,Octal,"Server, Library, Utility, Fabric",A Vanilla client/server compatible mod in the vein of Essentials
New Telekinesis Enchantment,MrLoLf,"Client and server, Equipment, Food, Utility, Fabric, Quilt",Enchantment that puts dropped Items in the Player Inventory
Ventur Origin,kittech,"Server, Game Mechanics, Magic, Mobs, Fabric, Quilt",A cute green-furred addon for origins mod
GhostZ,itzTerra,"Client and server, Equipment, Magic, Utility, Fabric","Adds a unique lighting tool - the Ghost Lantern, upgrade of Soul Lantern."
Northern Compass,LXGaming,"Client, Adventure, Equipment, Utility, Fabric, Forge, NeoForge",Makes the Minecraft compass point north.
Dimension Stages,Darkhax,"Client and server, Utility, Forge",Allows access to dimensions to be restricted based on stages.
Assorted Tools,grim3212,"Client and server, Equipment, Magic, Utility, Fabric, Forge",A random assortment of tools to add to your Minecraft world.
Verdure,Drigonis,"Client and server, Decoration, Forge",?? Enhances exploration with new flora to encounter.
Scripted Models,pixeldoted,"Client and server, Library, Fabric, Forge, Quilt",Scripted Models is an advanced model editing library
Rethinking Ores,MonsterTrex,"Client and server, Decoration, Equipment, World Generation, Fabric",Implements various different ores into the game alongside amendments to what can be used with vanilla ores
Unlimited Fluidity,RuochenFu21,"Client and server, Library, Forge","More options for fluid behaviors, like sponging"
Defibrillator,SilverAndro,"Server, Utility, Fabric",A server utility mod for messing with NBT
Abnormals Delight,TeamAbnormals,"Client and server, Decoration, Equipment, Food, Forge",Fills content gaps and ties together Abnormals mods and Farmer's Delight!
ScreenshotSettings,fmbellomy,"Client, Management, Utility, Fabric, Quilt","Extra settings for your screenshots, like custom directories, metadata, and naming scheme."
Adventures In Time,Loqor,"Client and server, Adventure, Technology, Transportation, Forge","If you're gonna have a time machine, why not fly with style? Introducing AIT (Adventures In Time), a mod that adds machines and paraphernalia from assorted science fiction. Currently only adds the Doctor Who TARDIS. Currently heavy WIP, so stick around!"
Uncrafted,XxRexRaptorxX,"Server, Utility, Forge, NeoForge",Craft the uncraftable!   - over 120 new crafting and smelting recipes! - enable or disable recipes!
Animorphs,BasicallyIAmFox,"Client and server, Magic, Mobs, Utility, Fabric","Adds new type of items - Transformation Items, those grant various abilities to player."
Scrollable Tooltips,ADON15c,"Client, Utility, Fabric",Adds the ability to scroll through tooltips that are larger than the screen
More Horse Armor (MHA),LieOnLion,"Client and server, Equipment, Fabric, Forge",Adding stronger Horse Amour to protect your friends
Kontrolo (Forge),Lucxjo,"Client, Utility, Forge",Press K to get a quick commands GUI
Axolotls Ignore Passives [PurpurPack],Rhythmic,"Game Mechanics, Mobs, Data Pack, Fabric, Forge, Quilt",Datapack that stops axolotls from hunting passive mobs
Rules,jade,"Server, Management, Utility, Fabric, Quilt",A highly-configurable server-side Fabric mod that allows you to create and customize a /rules command.
Give me a new splash text!,V,"Client, Utility, Fabric, Quilt",Click anywhere on the title screen to get new splash text!
Ping,FlashyReese,"Client and server, Utility, Fabric",A ping tool like in Portal but for Minecraft
Beta Nether 2.0,Pigzone00,"Client and server, Adventure, Game Mechanics, World Generation, Fabric, Forge, Quilt",Reverts the Nether back to its original form!
TheDragonLib,sokratis12GR,"Client and server, Library, Forge",A library for most of sokratis12GR's Mods
Advanced Chat,Wesley1808,"Server, Utility, Fabric",A fabric mod that adds a bunch of useful multiplayer chat features to the game.
Advanced Shulkerboxes,henkelmax,"Server, Adventure, Storage, Utility, Fabric, Forge, NeoForge, Quilt",This mod makes the Shulker Box more portable.
[Origins] - Gravity Skater,Ten_Mic_10,"Adventure, Transportation, Utility, Data Pack, Fabric, Forge, Quilt","This is a Custom Data Pack for Origins Mod A high-tech genius with anti-gravity expertise, seamlessly integrating knowledge into any boots while effortlessly gliding on a Boots-turned- anti-gravity skates."
Slabs From Wood,graskaas,"Client and server, Decoration, Fabric",Adds slabs made from wood and logs to Minecraft. Nothing else.
Sonic Boom,thePlaceholder,"Client, Cursed, Fabric, Forge, Quilt","a useless client side mod that makes an ""explosion"" when a player get above the speed of 40 blk/sec or 2blk/tick"
Devin's Recipes,devin,"Equipment, Game Mechanics, Utility, Data Pack, Fabric, Forge, Quilt","Adds various recipes to items and blocks with missing ones, like saddles and chainmail"
Friends&Foes - Beekeeper Hut (Quilt),faboslav,"Server, World Generation, Quilt","An addon for the Friends&Foes mod, adding a beekeeper hut structure."
No Teleport Cooldown,SmushyTaco,"Server, Fabric",This mod removes the cooldown for things that teleport you!
Seafoam's Dyeable Blocks,SeafoamWolf,"Client and server, Decoration, Game Mechanics, Utility, Fabric, Forge",Adds full RGB dye support to some blocks for decoration or art! A pixel artist's dream! Works great for Vanilla+!
Autocrafting Table,BabySpinach,"Client and server, Storage, Technology, Utility, Fabric",An extremely basic implementation of an autocrafting table with a template.
MoreCommands,planetteamspeakk,"Client and server, Technology, Utility, Fabric, Forge","Adds 79 commands, many tweaks, Discord Rich Presence support, the ability to sit on stairs, really cool RAINBOWS and more!"
JSST,JackFred2,"Server, Game Mechanics, Utility, Fabric, Quilt","Server-side features, including chest labels, display items, a fully fledged item editor, a command defined datapack utility and more"
Illager Expansion (Polymer Port),Patbox,"Server, Cursed, Magic, Mobs, Fabric, Quilt",Illager Expansion ported to Server Sideª
Hibernal Herbs,DakotaPrideModding,"Client and server, Food, Magic, World Generation, Fabric, Forge, Quilt",Hibernal Herbs celebrates the holidays with a little bit of mystic arts! Collect herbs and other ingredients to make the perfect holiday feast!
No Elytra,cootshk,"Game Mechanics, Management, Utility, Data Pack, Fabric, Quilt",Disables elytra for everyone
Beneath The Snow,TheOneWithBlueEyes,"Data Pack, Fabric, Forge, Quilt",A simple mod that replaces the Vanilla Igloos with a much better version. The new Igloos are bigger and are packed with goodies inside. ;)
Demogorgon Mod,KisekiGoBrr,"Client and server, Mobs, Forge","Adds a strange creature, and more to your Minecraft experience!"
Fabricated Exchange,Skirlez,"Client and server, Magic, Storage, Technology, Fabric, Quilt",A Fabric remake of ProjectE/Equivalent Exchange 2.
Better Game Menu,morimori0317,"Client, Utility, Fabric, Forge",Very Ikisugi Better Game Menu
ItemFrames+,kryparnold,"Client and server, Decoration, Game Mechanics, Utility, Fabric",Makes item frames more useful by shrinking hitboxes and making them invisible.
Projector,nicholasjackson,"Client, Decoration, Fabric",Projector Mod is a client side mod that adds a custom picture block that can display images from the internet in your Minecraft world.
OrigamiKings Enhancement Mod,OrigamiKing3612,"Client and server, Decoration, Fabric",A mod based on enhancing Minecraft. Adds a woodcutter and Vertical slabs
Multiplayer Button,Pieman,"Client, Decoration, Management, Utility, Fabric",Adds a multiplayer button to the pause menu.
Independent Gizmo,Minenash,"Client, Decoration, Utility, Fabric","Decouples the debug gizmo from the debug screen, and map its toggle to a different key. Also shows the attack indicator when the gizmo is active"
Extended Creative Inventory,Serilum,"Server, Management, Utility, Fabric, Forge, Quilt",?? Adds all items which by default aren't in the creative inventory to a tab.
One-Step Dyed Shulker Boxes [PurpurPack],Rhythmic,"Game Mechanics, Utility, Data Pack, Fabric, Forge, Quilt",Allows crafting dyed shulker boxes without having to craft the box first
ServerMobs,SlimeistDev,"Server, Mobs, Fabric",Crocodiles and more! All serverside.
Rotted,TheASEStefan,"Client and server, Adventure, Cursed, Mobs, Forge",Minecraft mod that expands and revamps the zombie branch.
Action Inventory Mod,hoid2,"Server, Adventure, Utility, Fabric",Allows creation of special inventories that do things when items are clicked
NewWorld,AvocadoSpud,"Client and server, World Generation, Fabric",??Adds new atmospheric content to the overworld.
Tinkers' Integrations and Tweaks,wendall911,"Client and server, Equipment, Magic, Technology, Forge",A collection of mod integrations and tweaks for Tinkers' Construct.
EpicZoomer,Nixuge,"Client, Utility, Forge",A legacy Forge mod that adds a zoom functionality with more features than Optifine's zoom
Questbind,DialingSpoon527,"Client, Game Mechanics, Utility, Fabric",Questbind is an experimental mod for Minecraft that allows players to customize the keybindings for Quescraft.
Medieval Deco,PlayTics,"Client and server, Decoration, Fabric, Forge",Deco around the theme Medieval for 1.16 - 1.20 [Forge|Fabric]
Map Zones,anonymous123-code,"Client and server, Management, Utility, Quilt",A mod adding configurable Zones for Mapmaking
Simple Decorations,JestemZbychu,"Client and server, Decoration, Fabric, Forge",A small mod adding some Villager profession themed decorations.
NexusFrame,Maya,"Server, Library, Management, Utility, Fabric, Quilt",A server-side library mod adding Multiblock api with a custom preview!
Modern Gamemode Switcher,MBYL-InkAndSoul,"Client, Game Mechanics, Utility, Forge",Let's switch gamemode quickly! Like the modern Minecraft version!
Control Engineering,malte0811,"Client and server, Technology, Forge",Redstone control and logic for Immersive Engineering
Maze World,replaceitem,"Client or server, Adventure, Cursed, World Generation, Fabric",Generates a bedrock maze through vanilla world generation. An interesting twist to the normal gameplay.
Brrrrock (aka Yeeterite),A5ho9999,"Client and server, Cursed, Equipment, Game Mechanics, Fabric",A Mod that allows you to break Bedrock (and some other fancy stuff) while being slightly balanced
Skinned Carts,Mrbysco,"Client and server, Forge, NeoForge",Adds Minecarts in various skins
Leashable Villagers,MattieOF,"Server, Utility, Fabric",Allows villagers to be leashed. Do not think about the moral implications.
RPLog,Fireflasher,"Client, Utility, Fabric, Forge",Log4All. No Chat or Message is save if you use this mod to hold them down until infinity
No Double Tap Sprint,sschr15,"Client, Utility, Fabric",Disables the double-tap-forward sprinting mechanic (and can be toggled in options)
Smart Recipes,Kir_Antipov,"Server, Library, Utility, Fabric",A Fabric mod that extends recipe format with conditions.
WETS (WorldEdit Tick Spreader),emilyy-dev,"Client or server, Utility, Bukkit, Fabric, Paper, Spigot",Spread WorldEdit operations across multiple ticks.
CoroUtil,Corosus,"Client and server, Library, Forge, NeoForge",Shared library mod for Corosus's mods
CTOV - PneumaticCraft: Repressurized compat,ChoiceTheorem,"Technology, World Generation, Data Pack, Forge",Compatibility datapack between CTOV and PneumaticCraft: Repressurized mod
More Beautiful Buttons,kreezxil,"Client and server, Decoration, Utility, Fabric, Forge, NeoForge",Buttons in more colors to bring beauty to your world
Fabric Server API,VenomCodeDev,"Server, Library, Utility, Fabric",A Server-Sided Mod API For Fabric
Horse Armor Stand,hierodrimm,"Client and server, Decoration, Fabric","Introducing: Armor Stand, but now for Horses"
Spyglass of Curios,SolarMoon,"Client and server, Decoration, Equipment, Utility, Forge","Now spyglass has a slot of curios, which can be used with a key press. Also, changing magnification by mouse scrolling and rendering spyglass model is available!"
Ghostblocks,Rubyboat1207,"Client, Utility, Fabric",A client sided configuration mod that adds interesting visual effects and useful tweaks.
Basalt Crusher,gniftygnome,"Client and server, Technology, Utility, Fabric, Quilt",Minecraft Fabric mod to crush basalts
JSON Entity Models (JEMS),InfernalStudios,"Client, Decoration, Mobs, Utility, Forge","Change the model, texture and animation of any mob!"
Unvoted & Shelved,dopadream,"Client and server, Fabric, Forge",Gives life to the mobs that lost the votes.
Tinkers' Mechworks,fuj1n,"Client and server, Technology, Utility, Forge",Tinkers' Mechworks is a mod that adds various redstone machines.
SwitchCraft Peripherals,Lemmmy,"Client and server, Technology, Fabric","Custom peripherals for the SwitchCraft server, including 3D Printers in the style of OpenComputers."
Reactive Alchemy,hyperlynx,"Client and server, Magic, Utility, Forge, NeoForge",An alchemy-themed magic mod based around in-world experimentation
Create Air Fabric,bitheaven,"Client and server, Equipment, Game Mechanics, Fabric, Quilt","Addon for Create that add compatibility with Thin Air, Ad Astra"
No Recipe Book Reborn,IronFractal,"Client, Utility, Forge",Removes the buttons for the recipe book.
Re:Skin,Sekwah,"Client and server, Decoration, Forge","Skin changer with support for HD skins, works with Mo' Bends & most other model changing mods"
PassiveMobs,Tslat,"Server, Game Mechanics, Mobs, Utility, Fabric, Forge",Makes all mobs passive by default
Just A Baguette,purejosh,"Client and server, Food, Fabric, Forge, NeoForge, Quilt",Adds just one item to the game: A Baguette.
More Armor,chicken647,"Client and server, Adventure, Equipment, Forge",More Armor for Minecraft Forge!   Easy to obtain armor for all uses!    +Custom Armor Attributes  +Custom Crafting Recipes
Endercage,Vulpany,"Client and server, Storage, Transportation, Utility, Fabric",A tool for capturing and carrying mobs.
OP Scythes,XxMasterGamer14,"Client and server, Adventure, Equipment, Utility, Fabric, Forge",OP Scythes currently comes with 8 scythes and 2 misc. Items. The scythes do 24 attack damage and have a .8 attack speed.
Mana Visualizer,Swedz,"Client and server, Cursed, Technology, Utility, Fabric","Exposes Botania for what it truly is, a number mod."
Ex HUD,clevernucleus,"Client, Adventure, Decoration, Utility, Fabric",A standalone fabric mod adding the HUD from legacy releases of PlayerEx.
Pickaxe Effective Reinforced Deepslate [PurpurPack],Rhythmic,"Game Mechanics, Utility, Data Pack, Fabric, Forge, Quilt","Puts reinforced deepslate into the pickaxe minable tag, making breaking it much more bearable"
Roughly Enough IDs,Lylythii,"Client and server, Forge","Removes the biome, item & block ID limits using the 1.13+ format"
Fred,Kyagara,"Client, Game Mechanics, Social, Utility, Fabric","Item linking in chat, zoom, inventory movement, music player and others quality of life features."
Keybind Presets,sxtanna,"Client, Utility, Fabric",Save and Load presets for your keybinds!
UltraPickaxe,DragonEggBedrockBreaking,"Client and server, Equipment, Fabric",Adds an ultra pickaxe that can break bedrock
Trinkets (Polymer Port),Patbox,"Server, Equipment, Library, Utility, Fabric, Quilt",Trinkets but with Polymer and Fabric Server Sideª
Origins: Fairy,Overgrown,"Adventure, Game Mechanics, Magic, Data Pack, Fabric, Forge, Quilt","Explore the magical world of Minecraft with the Fairy Origin Datapack! Fly with Aetherial Wings, glow with Chromatic Aura, and harness nature's powers. Embrace your ethereal essence and protect the ancient magic of the Fae!"
Unsaddle,NebelNidas,"Server, Adventure, Fabric","Unsaddle entities by shift-right-clicking, so you don't have to kill them!"
Infection Overwritten,Galeboy,"Game Mechanics, Minigame, Mobs, Data Pack, Fabric, Forge, Quilt",Transform Minecraft into a Challenging Zombie Apocalypse!
Full TabList,Foksha,"Client, Utility, Fabric",Increases the number of players displayed on the tablist from 80 to 200!
Natural Progression,oitsjustjose,"Client and server, Adventure, World Generation, Forge","Realistic Early-Game, Preventing Tree Punching and More!"
Box of Placeholders,Patbox,"Server, Fabric",Adds few useful placeholders from other mods (Fabric Placholder API)
Weapon Master,ForsetCabiri,"Client and server, Equipment, Game Mechanics, Forge","Powerful Modular Weapons with Aesthetic Freedom, Gamechanging Abilities, and Completely Reworked Hit Detection."
Nostalgic Fishing,kxffie,"Adventure, Game Mechanics, Utility, Data Pack, Fabric, Forge, Quilt",Bring Back Old Fishing!
M-Tape,retrixe,"Client, Utility, Fabric, Quilt",Fabric mod with measuring tape to measure distances.
Nuclear Science,aurilisdev,"Client and server, Adventure, Game Mechanics, Technology, Forge, NeoForge",Nuclear Science is a Minecraft Mod for version 1.20 focused around nuclear physics that introduces many new machines/blocks and items into the game.
Modflared,HttpRafa,"Client, Utility, Fabric, Forge, Quilt",Automatically connects you to a Cloudflare tunnel without having to install cloudflared separately.
Gilded Netherite,remotegetaway,"Client and server, Quilt",Swim in lava with your new armor
CTM Selector,Aeldit,"Client, Decoration, Management, Utility, Fabric",This mod allows you to choose which blocks will have connected textures in every CTM resource pack you have loaded
Reset Keys Confirmation Screen,V,"Client, Management, Utility, Fabric, Quilt",You will be prompted with a confirmation screen before resetting all keybindings.
War of The Worlds Mod,RedDash16,"Client and server, Game Mechanics, Mobs, World Generation, Forge",Adds in the Martians from various adaptations of War of the Worlds
StitchedSnow,Slainlight,"Server, Adventure, Decoration, Utility, Fabric",Allows snow to stack in Minecraft
Elytra Boosters,GabrielOlvH,"Client and server, Transportation, Utility, Fabric",The Ultimate Firework Rocket Killer!
Missile Mayhem,Ryftex,"Client and server, Adventure, Minigame, Technology, Forge",A Minecraft combat mod that lets players use powerful missile launchers to blow things up.
Enhanced Equipment,Blaze-Glitch,"Client or server, Equipment, Utility, Fabric, Forge","Adds new gear to Minecraft, all gear can be crafted with items from vanilla Minecraft"
Custom Splashes,SWDTeam,"Client, Game Mechanics, Utility, Forge",Easily create custom title screen splashes in game!
Lighting Wand ??,Snownee,"Client and server, Decoration, Utility, Fabric, Forge, Quilt",Wand that can place invisible light source! also supports Colored Lighting
FastDoll,Basicprogrammer10,"Client, Utility, Fabric","By default, the player model in the inventory is rendered at only 20FPS, this mod renders it at full speed."
Cobblemon - Neco-Arc,DJJuampi,"Mobs, Data Pack, Forge",An addon for Cobblemon that adds THE creature
Double-Tap Dash,valoeghese,"Client and server, Adventure, Utility, Fabric, Forge, Quilt",Spice up your combat with a new dash mechanic!
Transform Handlers,yyna,"Client, Fabric",Allows first person arm & item repositioning
Exp Ore,BlockCreator001,"Client and server, World Generation, Fabric, Forge",This mod add the EXP Ore and when you break it you will receive random amount of experience
